Created on 11-22-2020,
Unix Timestamp,Volume USD
1580860800,4483842.92
1580774400,3681040.12
1580688000,8500070.36
1580601600,3158330.54
1580515200,3652360.66
1580428800,7483837.22
1580342400,11007498.14
1580256000,10181479.16
1580169600,14840520.45
1580083200,6609766.21
1579996800,5019683.53
1579910400,2307962.02
1579824000,4615298.57
1579737600,5063381.1
1579651200,2138480.6
1579564800,3940188.64
1579478400,3333436.02
1579392000,9648878.05
1579305600,2723291.49
1579219200,7194504.5
1579132800,9638610
1579046400,6907520.38
1578960000,8958680.1
1578873600,2828082.47
1578787200,3524665.65
1578700800,5391819.21
1578614400,5784173.85
1578528000,3339944.04
1578441600,15243233.22
1578355200,8683532.42
1578268800,7151740.71
1578182400,4815941.61
1578096000,2466557.91
1578009600,8542327.8
1577923200,2569024.78
1577836800,875839.92
1577750400,1077029.82
1577664000,1889081.06
1577577600,1795871.93
1577491200,1634355.21
1577404800,2317030.14
1577318400,3561328.34
1577232000,1874374.39
1577145600,4979866.08
1577059200,4778929.59
1576972800,2258854.78
1576886400,627775.79
1576800000,1206327.92
1576713600,4650731.24
1576627200,8289986.83
1576540800,6086098.06
1576454400,4193171.47
1576368000,3397855.04
1576281600,2219940.81
1576195200,3556835.97
1576108800,8138980.8
1576022400,3686697.75
1575936000,7433980.84
1575849600,10018820.34
1575763200,4010615.33
1575676800,4546843.73
1575590400,5974363.93
1575504000,7984010.24
1575417600,10204644.13
1575331200,2108430.47
1575244800,3894577.25
1575158400,5616701.14
1575072000,4470608.78
1574985600,7740251.42
1574899200,6201655.55
1574812800,5950451.75
1574726400,4863413.75
1574640000,7993651.4
1574553600,2367580.94
1574467200,1574017.26
1574380800,5586010.17
1574294400,3411443.33
1574208000,2362899.65
1574121600,5453494.91
1574035200,4055590.67
1573948800,2668790.24
1573862400,1938837.26
1573776000,9314128.69
1573689600,3275715.78
1573603200,2983417.8
1573516800,4158941.48
1573430400,4113611.53
1573344000,3636369.33
1573257600,1462115.43
1573171200,6205505.25
1573084800,3434427.04
1572998400,4024380.86
1572912000,5894493.2
1572825600,3496541.75
1572739200,2162821.46
1572652800,3670607.22
1572566400,9857876.28
1572480000,8717919.06
1572393600,699961.56
1572307200,0
1572220800,0
1572134400,0
1572048000,0
1571961600,0
1571875200,0
1571788800,0
1571702400,0
1571616000,0
1571529600,0
1571443200,0
1571356800,0
1571270400,0
1571184000,0
1571097600,0
1571011200,0
1570924800,0
1570838400,0
1570752000,0
1570665600,0
1570579200,0
1570492800,0
1570406400,0
1570320000,0
1570233600,0
1570147200,0
1570060800,0
1569974400,0
1569888000,0
1569801600,0
1569715200,0
1569628800,0
1569542400,0
1569456000,0
1569369600,3899334.25
1569283200,33489905.33
1569196800,14668524.92
1569110400,10140398.01
1569024000,5200901.13
1568937600,3841969.86
1568851200,11418994.89
1568764800,3178409.22
1568678400,6786249.37
1568592000,1567186.53
1568505600,476627.26
1568419200,1125021.76
1568332800,2475891.09
1568246400,1169106.98
1568160000,6390018.04
1568073600,4628773.35
1567987200,7960346.52
1567900800,3522383.09
1567814400,3420221.63
1567728000,16797297.55
1567641600,9311507.59
1567555200,9734081.01
1567468800,1699038.27
1567382400,4115071.18
1567296000,2160996.03
1567209600,2555411.95
1567123200,6396050.13
1567036800,10219293.65
1566950400,9652447.44
1566864000,4321764.53
1566777600,2102247.58
1566691200,7290162.29
1566604800,1698342.66
1566518400,8149524.42
1566432000,14115540.02
1566345600,13704187.72
1566259200,5549223.42
1566172800,4686947.85
1566086400,944221.8
1566000000,755577.2
1565913600,14128882.79
1565827200,11588249.12
1565740800,9148181.09
1565654400,3556008.69
1565568000,3117052.75
1565481600,3180437.1
1565395200,4114814.96
1565308800,5921076.48
1565222400,6959121.57
1565136000,8564163.61
1565049600,3651214.63
1564963200,2295850.26
1564876800,3649000.07
1564790400,3081938.13
1564704000,5059039.26
1564617600,2830528.35
1564531200,2208470.46
1564444800,1398728.7
1564358400,3284522.59
1564272000,2075252.59
1564185600,4098371.1
1564099200,2808407.07
1564012800,2398539.16
1563926400,1907115.41
1563840000,3378114.52
1563753600,3988769.57
1563667200,2803705.98
1563580800,8652602.71
1563494400,13159149.8
1563408000,9555322.58
1563321600,5496143.8
1563235200,9868017.66
1563148800,8918389.17
1563062400,10281726.3
1562976000,4564914.49
1562889600,16992620.18
1562803200,15477829.73
1562716800,11449798.96
1562630400,4893339.46
1562544000,2454675.5
1562457600,7573921.15
1562371200,1691540.49
1562284800,1329310.08
1562198400,2799298.87
1562112000,9359268.14
1562025600,4351467.39
1561939200,7273209.58
1561852800,4056033.49
1561766400,3342750.14
1561680000,4275019.96
1561593600,8517023.41
1561507200,14539515.44
1561420800,5385084.2
1561334400,1397828.55
1561248000,2581809.17
1561161600,3675288.62
1561075200,3103303.93
1560988800,2505432.45
1560902400,582283.17
1560816000,1112984.47
1560729600,1804760.75
1560643200,3556980.43
1560556800,2675651.73
1560470400,2561552.73
1560384000,2439837.77
1560297600,3395701.73
1560211200,2976163.04
1560124800,2459156.95
1560038400,2371637.32
1559952000,2431936.14
1559865600,3828429.87
1559779200,2920349.89
1559692800,2862972.94
1559606400,5957628.97
1559520000,3984376.34
1559433600,1895338.12
1559347200,1227872.25
1559260800,2126542.47
1559174400,4352528.7
1559088000,2764434.73
1559001600,1305044.27
1558915200,2129324.43
1558828800,1895320.84
1558742400,1386582.68
1558656000,2324957.04
1558569600,1484749.69
1558483200,2666802.89
1558396800,2096439.81
1558310400,2127096.93
1558224000,1556471.1
1558137600,1291907.66
1558051200,2756321.93
1557964800,1608984.94
1557878400,2422035.25
1557792000,2143103.64
1557705600,3162241.68
1557619200,2863365.69
1557532800,3066724.29
1557446400,1817732.21
1557360000,1509746.82
1557273600,1065626.67
1557187200,579043.56
1557100800,1197688.4
1557014400,888616.57
1556928000,1628105.39
1556841600,1577420.8
1556755200,659415.75
1556668800,1158329.17
1556582400,1095111.92
1556496000,975111
1556409600,2547034.27
1556323200,1608438.32
1556236800,1290121.8
1556150400,1559178.38
1556064000,1830226.73
1555977600,1240684.16
1555891200,1036778.75
1555804800,605114.39
1555718400,413420.37
1555632000,549091.82
1555545600,456227.16
1555459200,563405.12
1555372800,1305409.03
1555286400,1021331.64
1555200000,458425.71
1555113600,657134.95
1555027200,655258.54
1554940800,1563025.6
1554854400,1265313.88
1554768000,2264592.63
1554681600,1507654.43
1554595200,1025810.66
1554508800,664095.52
1554422400,918251.13
1554336000,1692938.79
1554249600,5865649.17
1554163200,1189894.98
1554076800,928868.51
1552953600,17857.73
1552867200,335855.38
1552780800,237590.59
1552694400,847272.54
1552608000,528581.9
1552521600,429933.95
1552435200,1405606.1
1552348800,567442.68
1552262400,717183.9
1552176000,279745.8
1552089600,532690.61
1552003200,419588.85
1551916800,395315.18
1551830400,597791.02
1551744000,613818.32
1551657600,789684.46
1551571200,204321.19
1551484800,226451.89
1551398400,561241.92
1551312000,572023.08
1551225600,1603771.57
1551139200,1046929.13
1551052800,657424.73
1550966400,1173169.49
1550880000,403207.5
1550793600,765221.26
1550707200,323181.27
1550620800,697561.97
1550534400,1500456.59
1550448000,553379.02
1550361600,246726.65
1550275200,217731.76
1550188800,1261982.55
1550102400,1101689.86
1550016000,356244.79
1549929600,833440.62
1549843200,657213.18
1549756800,280627.31
1549670400,386423.68
1549584000,344772.87
1549497600,251050.98
1549411200,533083.54
1549324800,515883.22
1549238400,288352.94
1549152000,225544.84
1549065600,226304.91
1548979200,305429.66
1548892800,225948.6
1548806400,436148.23
1548720000,265105.07
1548633600,186752.06
1548547200,232855.77
1548460800,398844.77
1548374400,209456.48
1548288000,246628.01
1548201600,271629.41
1548115200,436765.63
1548028800,264242.38
1547942400,333468.86
1547856000,374267.28
1547769600,487777.33
1547683200,542146.97
1547596800,392615.68
1547510400,828180.91
1547424000,563202.69
1547337600,300059.37
1547251200,429526.4
1547164800,465868.71
1547078400,800830.18
1546992000,536246.47
1546905600,487106.94
1546819200,856401.08
1546732800,757077.46
1546646400,589766.83
1546560000,509291.23
1546473600,511233.5
1546387200,475104.02
1546300800,465831.01
1546214400,407769.27
1546128000,373113.78
1546041600,341337.37
1545955200,516978.23
1545868800,440750.09
1545782400,453527.35
1545696000,595156.21
1545609600,680863.92
1545523200,502715.32
1545436800,474834.83
1545350400,1401647.05
1545264000,760651.56
1545177600,625016.25
1545091200,393489.59
1545004800,382119.2
1544918400,353630.57
1544832000,251790.98
1544745600,325224.55
1544659200,363902.92
1544572800,306911.24
1544486400,377173.8
1544400000,376589.85
1544313600,268264.92
1544227200,574726.9
1544140800,857935.42
1544054400,702209.22
1543968000,545913.84
1543881600,425736.34
1543795200,516147.02
1543708800,369591.52
1543622400,1167693.66
1543536000,640686.41
1543449600,696892.9
1543363200,1114944.25
1543276800,1553635.07
1543190400,882130.56
1543104000,1266265.46
1543017600,947734.86
1542931200,464221.35
1542844800,350884.83
1542758400,644653.06
1542672000,1217959.52
1542585600,559125.26
1542499200,49573.68
1542412800,37948.4
1542326400,41318.37
1542240000,162203.48
1542153600,696910.22
1542067200,164652.33
1541980800,272601.09
1541894400,225899.03
1541808000,233405.72
1541721600,311235.23
1541635200,278040.95
1541548800,362912.44
1541462400,488069.35
1541376000,1361676.54
1541289600,330773.46
1541203200,278058.93
1541116800,1779278.33
1541030400,1051450.08
1540944000,228422.16
1540857600,226816.95
1540771200,286368.66
1540684800,192136.38
1540598400,199413.66
1540512000,279198.85
1540425600,392067.55
1540339200,621532.98
1540252800,404671.58
1540166400,269833.54
1540080000,1269261.15
1539993600,498774.84
1539907200,464584.27
1539820800,278889.67
1539734400,856579.22
1539648000,4655.11
1539561600,1364966.97
1539475200,149721.4
1539388800,117224.73
1539302400,238710.74
1539216000,771784.87
1539129600,241631.96
1539043200,136842.2
1538956800,247626.08
1538870400,185970.49
1538784000,174107.94
1538697600,216859.49
1538611200,243040.7
1538524800,318776.81
1538438400,269432.17
1538352000,259773.79
1538265600,307427.94
1538179200,407872.42
1538092800,518311.08
1538006400,593969.32
1537920000,293898.43
1537833600,342214.35
1537747200,321952.3
1537660800,214457.1
1537574400,243533.95
1537488000,358303.25
1537401600,365926.19
1537315200,380359.21
1537228800,269484.55
1537142400,361327.14
1537056000,197532.96
1536969600,208907.74
1536883200,274831.43
1536796800,413075.87
1536710400,288489.3
1536624000,275803.96
1536537600,256156.06
1536451200,295360.95
1536364800,735016.38
1536278400,528715.33
1536192000,757041.3
1536105600,758274.79
1536019200,303766.07
1535932800,316408.48
1535846400,356706.59
1535760000,242057.43
1535673600,238243.72
1535587200,288006.83
1535500800,293876.89
1535414400,326532.32
1535328000,317192.34
1535241600,270391.96
1535155200,309293.68
1535068800,426646.4
1534982400,318204.7
1534896000,281233.88
1534809600,69528.12
1534723200,83284.91
1534636800,53876.73
1534550400,333108.95
1534464000,295314.65
1534377600,195576.77
1534291200,131959.86
1534204800,225591.64
1534118400,137419.44
1534032000,0
1533945600,340679.62
1533859200,1010051.04
1533772800,132013.11
1533686400,205256.86
1533600000,1206275.54
1533513600,415804.82
1533427200,177718.93
1533340800,122649.94
1533254400,359478.72
1533168000,316612.12
1533081600,358135.29
1532995200,82839.38
1532908800,339982.15
1532822400,415356.96
1532736000,78288.37
1532649600,704903.43
1532563200,332121.08
1532476800,464017.22
1532390400,948021.64
1532304000,369560.34
1532217600,192417.25
1532131200,490364.15
1532044800,160934.03
1531958400,294723.07
1531872000,1410868.02
1531785600,489370.38
1531699200,348643.82
1531612800,281148.52
1531526400,66907.15
1531440000,180563.39
1531353600,367715.55
1531267200,933622.02
1531180800,313710.91
1531094400,108561.74
1531008000,70049.95
1530921600,119850.19
1530835200,61531.62
1530748800,65064.57
1530662400,56843.15
1530576000,149291.85
1530489600,382397.37
1530403200,163996.73
1530316800,592730.82
1530230400,261658.92
1530144000,180698.37
1530057600,195215.43
1529971200,203650.78
1529884800,127345.57
