Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
1605855600.0,2020-11-20 07-AM,BTCUSD,18180.93,18424.59,18097.46,18185.01,114.53,2092264.58
1605852000.0,2020-11-20 06-AM,BTCUSD,18131.82,18194.44,18080.65,18180.93,11.53,209110.35
1605848400.0,2020-11-20 05-AM,BTCUSD,18192.75,18223.51,18061.91,18131.82,41.03,744026.43
1605844800.0,2020-11-20 04-AM,BTCUSD,17958.08,18230.93,17956.38,18192.75,76.91,1395967.71
1605841200.0,2020-11-20 03-AM,BTCUSD,17977.21,18026.86,17954.69,17958.08,20.51,368917.53
1605837600.0,2020-11-20 02-AM,BTCUSD,17977.02,18050.51,17934.97,17977.21,37.6,676426.07
1605834000.0,2020-11-20 01-AM,BTCUSD,17781.87,17977.02,17763.37,17977.02,29.27,522415.61
1605830400.0,2020-11-20 12-AM,BTCUSD,17824.16,17942.2,17774.21,17781.87,33.47,597607.05
1605826800.0,2020-11-19 11-PM,BTCUSD,17884.33,17909.3,17729.86,17824.16,32.29,574758.04
1605823200.0,2020-11-19 10-PM,BTCUSD,17940.61,17966.65,17881.59,17884.33,26.16,468870.73
1605819600.0,2020-11-19 09-PM,BTCUSD,18050.87,18115.48,17900.7,17940.61,40.07,721772.23
1605816000.0,2020-11-19 08-PM,BTCUSD,17973.47,18051.88,17930.33,18050.87,13.33,239832.67
1605812400.0,2020-11-19 07-PM,BTCUSD,17948.66,17984.58,17891.07,17973.47,51.8,928931.93
1605808800.0,2020-11-19 06-PM,BTCUSD,17991.93,18047.61,17920.81,17948.66,28.0,504185.89
1605805200.0,2020-11-19 05-PM,BTCUSD,18019.7,18045.99,17901.26,17991.93,28.29,507913.6
1605801600.0,2020-11-19 04-PM,BTCUSD,18069.9,18125.42,17939,18019.7,38.85,699112.36
1605798000.0,2020-11-19 03-PM,BTCUSD,18127.96,18186.95,18035.18,18069.9,72.2,1307725.85
1605794400.0,2020-11-19 02-PM,BTCUSD,18007.09,18153.34,17868.98,18127.96,35.63,640867.75
1605790800.0,2020-11-19 01-PM,BTCUSD,17719.59,18012.61,17718.91,18007.09,57.94,1038061.04
1605787200.0,2020-11-19 12-PM,BTCUSD,17758.52,17800.64,17662.89,17719.59,36.19,642077.01
1605783600.0,2020-11-19 11-AM,BTCUSD,17613.27,17766.52,17595.39,17758.52,92.11,1627501.03
1605780000.0,2020-11-19 10-AM,BTCUSD,17445.86,17647.12,17377.71,17613.27,49.89,871858.68
1605776400.0,2020-11-19 09-AM,BTCUSD,17548.24,17647.64,17347.51,17445.86,99.92,1748410.97
1605772800.0,2020-11-19 08-AM,BTCUSD,17685.27,17739.41,17406.76,17548.24,95.13,1672575.88
1605769200.0,2020-11-19 07-AM,BTCUSD,17768.28,17778.34,17613.63,17685.27,63.67,1126825.64
1605765600.0,2020-11-19 06-AM,BTCUSD,17892.18,17906.85,17720.22,17768.28,80.81,1435664.81
1605762000.0,2020-11-19 05-AM,BTCUSD,17863.76,17922.84,17740,17892.18,28.61,508958.87
1605758400.0,2020-11-19 04-AM,BTCUSD,17927.15,17930.14,17759.4,17863.76,42.19,752333.36
1605754800.0,2020-11-19 03-AM,BTCUSD,17951.34,18010.47,17868,17927.15,35.05,629074.91
1605751200.0,2020-11-19 02-AM,BTCUSD,17873.74,18072.82,17873.74,17951.34,95.0,1707034.32
